Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,Congrès annuel de l'union nationale des associations de parents et amis de personnes handicapées mentales,Lyon,Rhone ,France,15/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Finale de l'UEFA ,Göteborg,nc,Suède,19/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Les Baux-de-Provence,Bouches-du-Rhone ,France,20/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Dublin,nc,Irlande,24/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Forum mondial des investissements ,Saint-Nazaire,Loire-Atlantique ,France,27/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite du chantier du viaduc de Millau,Millau,Aveyron,France,28/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,04/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite de l'Ecole supérieure des sciences économiques et commerciales (ESSEC),Cergy-Pontoise,Val-d'Oise,France,09/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,Cérémonies du 60ème anniversaire du martyr d'Oradour-sur-Glane,Oradour-sur-Glane,Haute-Vienne ,France,10/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,Sommet du PPE,Bruxelles,nc,Belgique,17/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,18/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,Cérémonies du 18 juin au Mont-Valérien,Suresnes,Hauts-de-Seine ,France,18/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,25/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Berlin,nc,Allemagne,01/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,Dîner de clôture de l'année de la Chine en France à l'Orangerie,Versailles,Yvelines ,France,02/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Bordeaux,Gironde,France,12/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Vannes,Morbihan ,France,19/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,Hommage aux combattants du maquis du Vercors,Vassieux-en-Vercors,Drome ,France,21/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,23/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Combloux,Haute-Savoie ,France,01/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,15/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,Commémoration du débarquement en Provence,Toulon,Var,France,15/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,20/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,28/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,Université d'été des jeunes de l'UMP,Avoriaz,Haute-Savoie ,France,05/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite d'une usine de bio-carburants ,Venette,Oise,France,07/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,10/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,17/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,23/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,Journée parlementaire UMP/Assemblée nationale,Argenteuil,Val-d'Oise ,France,28/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,Arrivée de l'équipe paralympique,Orly,Val-de-Marne ,France,29/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Le Puy-en-Velay,Haute-Loire ,France,08/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite au sommet de l'élevage ,Clermont-Ferrand,Puy-de-Dome ,France,08/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,Commission européenne,Bruxelles,nc,Belgique,14/10/2004,2004
